statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$53 million a week is coming across the border in drugs.""",6.0,0.0,6,1.0,mostly-true
"""(Jeff) Atwater's busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish it's dubbed the 'Taj Mahal,' $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor.""",6.0,0.0,3,1.0,false
"""... study after study has shown that the death penalty deters murders.""",6.0,0.0,5,1.0,half-true
"""100 percent of the crime is committed, in estimate, by about 15 percent of the population.""",6.0,0.0,4,1.0,pants-fire
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",6.0,0.0,3,1.0,half-true
"""194,000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299,000 criminal offenses.""",6.0,0.0,7,1.0,mostly-true
"""25% of human trafficking victims are located in Texas.""",6.0,0.0,3,1.0,pants-fire
"""3 American women are murdered every day by their husband or boyfriend.""",6.0,0.0,2,1.0,mostly-true
"""48-Hour waiting periods limit crimes of passion and keep our communities safe.”",6.0,0.0,5,1.0,half-true
"""50 percent of murders in Texas have been linked to illegal aliens.""",3.8333333333333335,0.4082482904638631,6,1.0,false
"""50% of the DUIs on Interstate 35 are from illegals. Ninety percent of the 50% have absolutely no identification.""",4.0,0.0,4,1.0,pants-fire
"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",4.0,0.0,6,1.0,false
"""82-year-old who killed a Muslim in self-defense gets the death penalty.""",2.75,0.4629100498862757,8,1.0,pants-fire
"""90% of Americans want national background checks that close loopholes.""",6.0,0.0,4,1.0,true
"""97% of murders occur with handguns.""",4.666666666666667,0.5163977794943223,6,1.0,mostly-false
"""A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her.""",3.25,0.5,4,1.0,false
"""A [bank] surveillance camera capturing a criminal’s face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.""",5.0,0.0,5,1.0,false
"""A black male baby born today, if we do not change the system, stands a one-in-three chance (of) ending up in jail.""",6.0,0.0,6,1.0,mostly-true
"""A black person is four times as likely as a white person to be incarcerated for the exact same crime.""",5.0,0.0,6,1.0,mostly-false
"""A couple of hundred American cities are infested by members of the Mexican cartels.""",6.0,0.0,3,1.0,true
"""A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.""",2.0,0.0,4,1.0,true
"""A number of Democrats running for governor want to cut the prison population by 50%"" and ""that would require the release of thousands of violent felons.""",6.0,0.0,6,1.0,half-true
"""A sitting sheriff cannot be charged except by a warrant issued by a Superior Court judge.""",6.0,0.0,5,1.0,half-true
"""A third of the budget for the city of Ferguson (Missouri) was being reaped by civil fines.""",3.0,0.0,4,1.0,mostly-false
"""According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States.""",5.0,0.0,6,1.0,mostly-true
"""According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that don’t.""",4.333333333333333,0.5163977794943222,6,1.0,mostly-false
"""According to the FBI, Mexican drug cartels are working with 100,000 street gang members in Chicago alone.""",6.0,0.0,4,1.0,half-true
"""According to the state of Florida, you are almost twice as likely to be attacked by an alligator than by someone who happens to carry a conceal-and-carry permit.""",5.833333333333333,0.408248290463863,6,1.0,mostly-false
"""Across the board, violent crime in jurisdictions that recognize the Right to Carry is lower than in areas that prevent it.""",4.666666666666667,0.5163977794943221,6,1.0,false
"""African Americans are three to four times more likely to be arrested for drug crimes, and nine times more likely to be imprisoned.""",6.0,0.0,5,1.0,mostly-true
"""African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.""",6.0,0.0,4,1.0,mostly-true
"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.""",6.0,0.0,6,1.0,true
"""Al-Qaida operatives, have said, 'Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.'""",6.0,0.0,4,1.0,mostly-true
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",6.0,0.0,4,1.0,false
"""Already this calendar year, since January 1, we have had more than 20,000 people come across the border, apprehended, unauthorized.""",3.0,0.0,5,1.0,true
"""Americans are 25x more likely to be shot & killed than others in developed countries.""",6.0,0.0,3,1.0,mostly-true
"""America’s gun-related homicide rate … would be about the same as Belgium’s if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S.""",5.0,0.0,6,1.0,pants-fire
"""An elderly British politician has been savagely beaten to a bloody pulp by a gang of anti-Trump protestors because he ‘welcomed’ the U.S. president to the United Kingdom.""",3.25,0.5,4,1.0,mostly-false
"""An organized crime syndicate was extorting money from his (Tom Ganley’s) business, threatening his family, but he fought back and won the FBI's highest civilian award""",1.3333333333333333,0.5773502691896257,3,1.0,true
"""Animal abuse is often an indicative trait of future acts of violence against humans.""",2.0,0.0,12,1.0,true
"""Antifa"" is to blame for storming the U.S. Capitol.",3.0,0.0,3,1.0,pants-fire
"""As Alaska’s attorney general, (U.S. Senate candidate Dan) Sullivan successfully fought to protect our Second Amendment rights and passed ‘stand your ground.’ """,6.0,0.0,3,1.0,false
"""As a result of National Rifle Association and other private-sector (safety-education) programs, fatal firearms accidents are at the lowest level in 100 years.""",6.0,0.0,3,1.0,half-true
"""As of 2014, illegal aliens made up roughly 3.5 percent of our population, and committed over 10 percent of all murders.""",3.6666666666666665,0.5163977794943222,6,1.0,mostly-false
"""At a minimum, 40 percent of those who view child pornography end up molesting children as a result.""",6.0,0.0,7,1.0,mostly-false
"""At his father's bank, Alexi made tens of millions in risky loans to convicted mobsters. Then, the bank collapsed.""",6.0,0.0,4,1.0,half-true
"""At the end of 2016, there were 23 percent fewer federal prosecutions than in 2011, so (prosecutors) looked at this scourge (opioid deaths) and they let it go by.""",6.0,0.0,2,1.0,half-true
"""Attorney General Eric Holder is involved in the dismissal of the criminal charges"" against the New Black Panther Party for voter intimidation",6.0,0.0,6,1.0,false
"""Austin is the safest big city in Texas.""",6.0,0.0,5,1.0,half-true
"""Barack Obama has consistently voted against tougher penalties for criminals.""",5.0,0.0,7,1.0,false
"""Because of (the 1994 crime bill), we had a 25-year low in crime, a 33-year low in the murder rate, and listen to this, because of that and the background check law, a 46-year low in the deaths of people of gun violence.""",6.0,0.0,7,1.0,mostly-false
"""Beginning on Jan. 1, prostitution by minors will be legal in California.""",3.0,0.0,6,1.0,pants-fire
"""Beto O’Rourke wants to confiscate guns because he can’t buy one himself due to his criminal record.""",5.0,0.0,8,1.0,false
"""Biden is adding more IRS agents to investigate your taxes than we have detectives investigating every crime in the country.”",4.857142857142857,0.3779644730092273,7,1.0,false
"""Bill White spent his city billions of dollars into debt (and) saw crime rates soar while he backed gun control.""",5.875,0.35355339059327384,8,1.0,mostly-false
"""Black Lives Matter, who are attacking law enforcement officers"" -- Barack Obama ""had them to the White House.""",5.0,0.0,5,1.0,mostly-false
"""Black people are eight times more likely to be arrested than white people"" in Madison.",6.0,0.0,4,1.0,half-true
"""Black people kill more black people every six months than the KKK did in 86 years.""",4.571428571428571,0.5345224838248487,7,0.5714285714285714,half-true
"""Breaking! Terrorist attacks Trumps at Mar A Lago.""",2.2,0.447213595499958,5,1.0,false
"""Breaking: Santa Fe killer expresses his love for Obama.""",2.2857142857142856,0.4879500364742666,7,1.0,pants-fire
"""Brock Turner’s early release will be a regular occurrence if Prop. 57 passes.""",6.0,0.0,6,1.0,mostly-false
"""Broward County Sheriff fired for lying about Parkland.""",4.0,0.0,4,1.0,pants-fire
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",3.7142857142857144,0.48795003647426655,7,1.0,false
"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",5.0,0.0,2,0.0,mostly-true
"""California won’t let law enforcement officers like you and your people transfer prisoners to ICE custody or even to communicate with ICE that you’re about to release them from your custody — people that ICE is looking for.""",6.0,0.0,5,1.0,mostly-false
"""Californians are overwhelmingly against this concept of the illegal sanctuary state.""",3.1666666666666665,0.408248290463863,6,1.0,false
"""Chicago experienced its deadliest weekend of the year...With 7 dead and 52 wounded near a playground.""",5.0,0.0,3,1.0,mostly-false
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",3.0,0.0,3,1.0,false
"""Crime has been getting worse since Jerry Brown was elected governor.""",6.0,0.0,3,1.0,mostly-false
"""Crime in Atlanta is down 18 percent since 2009.""",1.0,0.0,4,1.0,true
"""Crime in Germany is way up.""",4.0,0.0,2,1.0,false
"""Crime is down in Arizona.""",1.0,0.0,8,1.0,true
"""Crime is down in Venezuela by 67% because they're taking their gangs and their criminals and depositing them very nicely into the United States.”",4.0,0.0,4,1.0,false
"""Crime is escalating to a level we haven’t seen in decades as a direct result of Democrats’ defund the police movement and Biden-Harris open-border policies.""",5.0,0.0,6,1.0,false
"""Crime is rising.""",3.0,0.0,4,1.0,pants-fire
"""Crime is up under Governor DeSantis. Crime was down when I was your governor.""",6.0,0.0,6,1.0,mostly-false
"""DUI arrests dropped significantly in Tampa once Uber began operating here.""",6.0,0.0,5,1.0,half-true
"""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse.""",3.857142857142857,0.37796447300922725,7,0.0,true
"""Defendants charged with producing, directing or promoting an obscene sexual performance by a child will be arraigned & set free.""",5.0,0.0,4,0.0,mostly-true
"""Deidre DeJear refused to stand for police.""",4.0,0.0,4,1.0,half-true
"""Do this research … watch how much crime picks up if you take away [football].""",4.0,0.0,3,1.0,false
"""Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet.""",6.0,0.0,3,1.0,true
"""Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.""",5.0,0.0,7,1.0,pants-fire
"""Eighty-three law enforcement officers have died in the line of duty this year. Twenty-four of them were shot and killed in cold blood.""",3.8333333333333335,0.408248290463863,6,1.0,true
"""Elijah Cummings’ house was broken into after Trump publicly attacked him on Twitter.""",3.6666666666666665,0.5773502691896258,3,1.0,false
"""Eric Schneiderman helped NXIVM sell child sex slaves to the Clintons""",2.6,0.5477225575051661,5,1.0,pants-fire
"""Even members of the NRA, when they were polled recently, were under the impression that everyone has a criminal background check.""",6.0,0.0,4,1.0,mostly-true
"""Every 28 hours"" an unarmed black person is shot by a cop.",4.0,0.0,5,1.0,false
"""Every day on average 500 people die from gun violence.""",4.0,0.0,4,1.0,false
"""Every day, 34 Americans are murdered with guns.""",6.0,0.0,9,1.0,mostly-true
"""Everywhere that we have more citizens carrying guns, crime is less. There's a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.""",5.0,0.0,6,1.0,mostly-false
"""FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",5.0,0.0,5,0.0,mostly-true
"""FBI crime statistics have found that labeled ‘sanctuary’ cities experience lower rates of all crime types, including homicides.""",6.0,0.0,4,1.0,half-true
"""Fifty-six percent decline in overall crime. A 73 percent decline in motor-vehicle theft. A 67 percent decline in robbery. A 66 percent decline in murder. This is way beyond what happened in the nation during this period of time.",6.0,0.0,4,1.0,true
"""Firearms homicides are down about 40 percent"" since Texas passed concealed-gun permit law.",6.0,0.0,4,1.0,mostly-true
"""Florida Sheriff: Blacks should learn to act like white people in order to stay alive.""",3.5,0.5477225575051661,6,1.0,mostly-false
"""Florida is enjoying its lowest crime rate in 39 years.""",6.0,0.0,6,1.0,mostly-true
"""Florida is now the No. 1 state in the country for automobile accident fraud.""",6.0,0.0,6,1.0,mostly-true
"""Florida leads the nation in elected officials charged with crimes.""",5.0,0.0,5,1.0,half-true
"""Florida man on drugs kills imaginary friend and turns himself in.”",2.0,0.0,6,1.0,pants-fire
"""Florida sheriffs unequivocally support"" the ""stand your ground"" law.",6.0,0.0,5,1.0,mostly-false
"""Florida's new fingerprint identification system is improving our rate of solving cold cases by 300 percent.""",6.0,0.0,5,1.0,mostly-false
"""Foster children are disproportionately victims of identity theft.""",6.0,0.0,5,1.0,false
"""Four percent of American citizens are black males, but they are 35 percent of murder victims.""",5.0,0.0,4,1.0,mostly-true
"""From the release of a child rapist from the Dominican Republican to that of an Italian drug smuggler, Philadelphians have already been put in direct danger by Mayor Kenney’s policy of blocking local law enforcement from participating with federal immigration authorities.""",6.0,0.0,6,1.0,mostly-false
"""Gangs have increased by 40 percent since this president was elected.""",6.0,0.0,3,1.0,half-true
"""Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.""",6.0,0.0,5,1.0,pants-fire
"""Harvard Study Finds States With Most Gun Laws Have Fewest Gun Deaths.""",5.0,0.0,4,1.0,half-true
"""Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.""",6.0,0.0,4,1.0,mostly-true
"""Here are the facts: there is no massive wave of migrants pouring into California. Overall immigrant apprehensions on the border last year were as low as they’ve been in nearly 50 years (and 85 percent of the apprehensions occurred outside of California).""",2.0,0.0,2,1.0,true
"""Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel.""",2.0,0.0,7,0.0,mostly-true
"""Here in Philadelphia murder has been steady — I mean — just terribly increasing.""",6.0,0.0,4,1.0,false
"""Here's a man who brags about how he made the city safe. It was the Biden crime bill that became the Clinton crime bill that allowed him to do that.""",6.0,0.0,5,1.0,mostly-false
"""Here’s the simple and undeniable fact: The overwhelming majority of violent criminals are Democrats.""",4.8,0.44721359549995787,5,1.0,mostly-false
"""Hillary Clinton spied on President Trump.""",4.0,0.0,4,1.0,false
"""Hillary in hiding as police discover dead body hidden in Huma Abedin’s dumpster.""",3.0,0.0,8,1.0,false
"""Hollywood is #1 in Broward homicides in 2013. Thanks Chief Fernandez!""",5.0,0.0,8,1.0,half-true
"""Homicides against blacks have tripled"" since Florida’s ""stand your ground"" law has been in existence.",3.5714285714285716,0.5345224838248488,7,1.0,false
"""How many people have with a concealed carry permit have committed a crime in Virginia? ...The answer is zero.""",4.0,0.0,7,1.0,false
"""Human trafficking is the third-biggest criminal enterprise in the world.""",6.0,0.0,4,1.0,mostly-true
"""Hundreds of illegal immigrants subject to detainers were released in the last week since the new sanctuary policy was adopted by the Travis County Sheriff's Office.""",6.0,0.0,5,1.0,false
"""Hundreds of thousands of (illegal immigrants are) going to state and federal penitentiaries.""",3.0,0.0,4,1.0,mostly-false
"""Husbands rarely beat up their wives. Single women get beaten up more.""",6.0,0.0,5,1.0,half-true
"""I am every year the No.1 pick of all of the law enforcement agencies within Texas.""",4.0,0.0,6,1.0,false
"""I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City."" -",4.2,0.44721359549995787,5,1.0,mostly-false
"""I deployed the Texas National Guard"" to the Texas-Mexico border. ""And the policy worked; apprehensions at the border declined 74 percent.""",6.0,0.0,4,1.0,mostly-false
"""I had to lay off 48 people last year,"" which has exacerbated the lack of law enforcement officers in the county that respond quickly to crime calls.",6.0,0.0,3,1.0,mostly-false
"""I have seen crime increase in every major metropolitan area (in California) … Crime is on the rise in every major market.""",6.0,0.0,4,1.0,mostly-false
"""I have watched ICE liberate towns from the grasp of MS-13.""",3.0,0.0,5,1.0,false
"""I'm well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.""",4.0,0.0,5,1.0,false
"""I've been here almost every day.""",5.0,0.0,5,1.0,mostly-false
"""If Governor Cooper's proposed bill for repealing HB2 becomes law, it will create a state-sanctioned 'Look But Don't Touch' policy in our bathrooms.""",5.0,0.0,7,1.0,pants-fire
"""If there is a firearm available, it is 17 times more likely to be used either for suicide or for assaulting a friend, relative, an acquaintance than it is to be used in fending off an intruder.""",6.0,0.0,3,1.0,half-true
"""If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.""",3.0,0.0,2,1.0,false
"""If you give guns to gangs, you can get out of jail free, if (California’s Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free.""",4.2,0.4472135954999579,5,1.0,false
"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.""",2.0,0.0,2,1.0,true
"""If you look at what we’ve done over the last several years, the crime rate has actually gone down in [Providence] and . . . the number of shootings has been going down.""",6.0,0.0,3,1.0,half-true
"""If you're a terrorist you can't fly,"" but ""an assault weapon you can buy.""",6.0,0.0,6,1.0,mostly-true
"""Illegal aliens cost the state of Rhode Island $400 million a year.""",4.166666666666667,0.40824829046386296,6,1.0,pants-fire
"""Illegal immigration and the crime rate are as low as they’ve been in decades.""",6.0,0.0,3,1.0,mostly-true
"""In 1972, we had a 179,000 human beings in jail in this country. Today, it's 2.3-million, and 70 percent of them are black, African-American.""",2.6666666666666665,0.5773502691896258,3,1.0,pants-fire
"""In 1992, the Democratic Party had in their platform provisions that said that illegal aliens were coming in this country, committing felonies, sent back and then they were right back across the border to do the same thing.""",6.0,0.0,5,1.0,mostly-true
"""In 2004, George W. Bush lifted the ban on those (AR-15 type) rifles, and since then, the number of massacres has increased 183%. During the ban, there were 12 incidents. Since he lifted the ban, there were 34 incidents.""",6.0,0.0,7,1.0,half-true
"""In 2008, when Flint had 265 sworn officers on their police force, there were 35 murders and 91 rapes in this city. In 2010, when Flint had only 144 police officers, the murder rate climbed to 65, and rapes … climbed to 229.""",6.0,0.0,2,1.0,half-true
"""In 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. They [The Obama administration] prosecuted only 44 of them.""",6.0,0.0,5,1.0,mostly-true
"""In 2012, 123 African-Americans were shot dead by police. ... Same year, 326 whites were killed by police.""",5.0,0.0,6,1.0,mostly-false
"""In 2013,"" Dan Patrick voted ""against funding to test the backlog of rape kits, allowing rapists to walk free.""",6.0,0.0,5,1.0,pants-fire
"""In 2015, homicides increased by 17 percent in America’s 50 largest cities. That’s the largest increase in 25 years.""",6.0,0.0,3,1.0,mostly-true
"""In 2016, an officer was assaulted in America on an average of every 10 minutes.""",4.857142857142857,0.37796447300922725,7,0.0,mostly-true
"""In 2016, counties hosting a Trump rally saw a 226% spike in hate crimes.""",6.0,0.0,2,1.0,half-true
"""In 2017, illegal aliens murdered 1,800 Americans.""",3.25,0.4629100498862757,8,1.0,false
"""In 2017, we had more marijuana possession arrests in our country than all other violent crimes combined.""",5.0,0.0,3,1.0,true
"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",6.0,0.0,7,1.0,true
"""In American history since 9/11, we've had 85 major attacks in our country, 73 percent of them have been by white nationalist hate groups.""",6.0,0.0,5,1.0,half-true
"""In Atlanta, since 1994 when the ‘Seven Deadly Sins’ (mandatory minimum sentences) took effect, the violent crime rate has dropped 62 percent.""",5.0,0.0,6,1.0,mostly-true
"""In Catherine Cortez Masto's last term as attorney general, Nevada murder went up 11 percent, robbery went up 28 percent, rape 51 percent. When Cortez Masto left office, Nevada ranked as America's third most dangerous state.""",6.0,0.0,3,1.0,mostly-false
"""In Chicago, they've had thousands of shootings, thousands since Jan. 1. Thousands of shootings.""",5.0,0.0,3,1.0,true
"""In Florida felonies can be things like buying weed, tampering with an odometer or disturbing a lobster trap. So basically spring break.""",5.0,0.0,5,1.0,mostly-true
"""In Houston, Texas, there are more brothels than there are Starbucks.""",5.0,,1,0.0,mostly-true
"""In Mobile, it’s something like, 1,700 families generate 80 percent of the crime. We know who those families are.""",5.625,0.5175491695067657,8,1.0,half-true
"""In New England, Rhode Island has the second highest number of police officers being assaulted.""",5.0,0.0,8,1.0,mostly-false
"""In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks.""",5.0,0.0,3,1.0,mostly-true
"""In New York, your chances of getting murdered are 1 in 25,000. In Honduras, it’s 1 in 14.""",5.0,0.0,5,1.0,half-true
"""In Rhode Island, 28 percent of adults released from state prisons are re-incarcerated within a year.""",6.0,0.0,7,1.0,true
"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""",4.5,0.5773502691896258,4,1.0,false
"""In my first year in office, Aurora homicides went down by 40%.""",6.0,0.0,6,1.0,mostly-false
"""In our nation’s capital, killings have risen by 50 percent.""",5.0,0.0,7,1.0,mostly-false
"""In the 1990s, the Biden Crime Bill added 100,000 cops to America's streets. As a result, murder and violent crime rates went down eight years in a row.""",5.0,,1,1.0,false
"""In the 513 days between Trayvon dying, and today’s verdict, 11,106 African-Americans have been murdered by other African-Americans.""",5.0,0.0,6,1.0,mostly-false
"""In the city of Milwaukee, we’ve still got a mayor and a police chief who are furloughing police officers at a time when we have violence all across the city.""",6.0,0.0,6,1.0,mostly-true
"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime — crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""",4.333333333333333,0.5163977794943222,6,1.0,mostly-true
"""In the last five years, 28,000 people have been killed along the U.S.-Mexico border.""",5.0,0.0,7,1.0,false
"""In the last six years of Cianci’s administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence.""",6.0,0.0,4,1.0,mostly-true
"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.""",4.0,0.0,3,1.0,true
"""In the rest of the world, there have been 18 school shootings in the last twenty years. In the U.S., there have been 18 school shootings since January 1.""",5.0,0.0,3,1.0,mostly-false
"""In the states that allow open carry, violent crime was 23 percent lower.""",5.0,0.0,5,1.0,half-true
"""In the year 2013, the Obama administration released 104,000 criminal illegal aliens. They released 196 murderers – people with homicide convictions, who are here illegally.""",6.0,0.0,3,1.0,half-true
"""Inner-city crime is reaching record levels.""",3.8333333333333335,0.408248290463863,6,1.0,pants-fire
"""Investigators: Anthony Bourdain was killed by Clinton operatives.""",2.0,0.0,5,1.0,pants-fire
