statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"Says Mike DeWine took $40,000 from ECOT and ""did nothing while the online for-profit school lied about enrollment and took millions meant for our kids.""",half-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True
"""In 2015, when Terry McAuliffe was governor, the Virginia Department of Education promoted incorporating critical race theory lens in education...They were trying to indoctrinate kids.”",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true', 'mostly-true']",6,True
Annexation would lead to overcrowding at Decatur’s city schools.,false,false,"['false', 'mostly-false', 'true', 'half-true', 'pants-fire']",5,True
"""In Texas, schools do not even have to teach sex education.""",true,false,"['false', 'mostly-false', 'true', 'pants-fire', 'half-true', 'mostly-true']",6,True
"""The teachers in (charter) schools don't even have to be certified.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"Says that under the law, New York City Mayor Bill de Blasio “can’t open” the city’s schools.",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True
"Says 315,000 mostly minority Texas students are enrolled in failing schools.",mostly-true,true,"['true', 'false', 'mostly-false', 'mostly-true', 'half-true']",5,True
Says the Affordable Care Act was a federal takeover of the student loan industry and ‘profits’ on the loans go to help pay for the health care law.,mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
Members of Congress and their families and staff are exempt from repaying student loans.,pants-fire,false,"['false', 'pants-fire', 'true']",3,True
"The ""federal government is going after school districts, trying to force them to let boys shower with little girls.""",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
Seventy-two percent of Georgians did not have a chance to finish college.,mostly-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,False
"""North Carolina's teacher income is rising faster than any other state.""",half-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'mostly-true', 'true']",6,True
“I don’t believe the science suggests that young people should be vaccinated. I don’t believe that young people should have to wear masks at school. I’m not sure the science is settled on that at all.”,false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
