statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"The Baucus health care bill would require taxes on medical devices such as X-ray machines, female condoms, HIV tests and surgical needles.",mostly-true,mostly-true,"['mostly-true', 'half-true']",2,True
"Says Kurt Schrader ""cast the deciding vote that failed to extend tax cuts for Oregon’s middle-class families and small businesses.""",false,false,['false'],1,True
Says the estate tax is a threat to family farms.,mostly-false,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"Twenty percent of single adults, ages 21 to 25 with no kids, ""are not working or even in school trying to find a job.""",false,false,['false'],1,True
"""The Senate Democrats have not provided one tax cut.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
PolitiFact Oregon gave Rob Cornilles a Pants on Fire for a claim about taxes and fees.,pants-fire,pants-fire,['pants-fire'],1,True
The city of Atlanta has either the highest or second-highest average water bills in the country.,true,true,['true'],1,True
"""John Boozman is excited about putting a 23 percent national sales tax on everything you buy.""",half-true,half-true,['half-true'],1,True
"""Every taxpayer, their taxes are going down, except rich people in Manhattan and San Francisco. Some of them, their taxes may go up.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Ben Franklin once quipped that only two things in life were certain: death and taxes. I think even he didn't envision that the tax man would visit on the day of your death.""",false,false,"['true', 'false']",2,True
"The fiscal cliff deal ""ultimately raised taxes.""",half-true,half-true,['half-true'],1,True
"""Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.""",true,true,['true'],1,True
"""The Congressional Budget Office estimates that for every $1 we spend on unemployment benefits, $1.90 is put into our economy.""",half-true,mostly-true,"['mostly-true', 'half-true']",2,True
"Says Ronald Reagan ""understood repeatedly that when the deficit started to get out of control, that for him to make a deal he would have to propose both spending cuts and tax increases.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""I believe in tax cuts. I believe in being a supply-sider. I cut the income tax I think it was 24 percent. We got 42 percent more revenues.""",mostly-true,mostly-true,['mostly-true'],1,True
Says U.S. Rep. Tammy Baldwin is backing President Barack Obama’s plan to pass a $1.5 trillion tax increase.,false,false,['false'],1,True
"“Democrats' new army of 87,000 IRS agents will be coming for you — with 710,000 new audits for Americans who earn less than $75k.”",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"Milwaukee has less taxing power than most similar cities and is the only U.S. city of 400,000 or more ""that does not have a sales tax or local income tax.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""The new beverage tax will increase the cost of sodas, juice drinks, sports drinks, iced teas, and flavored water up to 50%.""",half-true,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says ""Austin has the lowest property tax rate by far of the five major cities in Texas.""",half-true,true,"['true', 'mostly-true']",2,False
"""Roy Cooper won't say how he will pay for ‘free’ college tuition.""",half-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"If the “Big Beautiful Bill” passes, ""hardworking Americans and families will see an average increase in take-home pay of OVER $10,000 per year.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""Steve Southerland did not pay his taxes in '05, '06, '07, '08 or '09.""",false,false,['false'],1,True
"""Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras.""",pants-fire,false,"['mostly-false', 'false']",2,False
"When oil and gas prices sent state revenues up, Palin sent ""a large share of that revenue directly back to the people of Alaska.""",true,true,['true'],1,True
"""If we don't spend money on a pier, then that money does wipe into the general funds of the city or the county, and if you send it to the county, you never see it again.""",half-true,half-true,"['mostly-true', 'half-true']",2,True
"""We have one of the most expensive General Assemblies, per capita, in the entire country.""",true,true,"['true', 'mostly-true']",2,True
Says Nick Kahl made it harder for many families to cover basic health care expenses.,mostly-false,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""I have had to fill out FEC reports for the past six years now, and they’re much more detailed than a tax return...""",false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Under President George W. Bush, the U.S. had ""52 months of ... uninterrupted job creation"" and ""revenues were at an all-time high in 2007.""",mostly-true,mostly-true,['mostly-true'],1,True
"Says Democratic gubernatorial candidate Mary Burke ""has proven on the Madison Board of Education"" that she supports raising taxes and spending.",half-true,half-true,"['half-true', 'mostly-false']",2,True
"Says, ""Carl proposed a 'windfall' tax on real estate development when he was a Metro Councilor.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says Gov. Tony Evers' budget includes tax and fee increases even while spending ""more on his way to a nearly $2 billion deficit.""",half-true,half-true,['half-true'],1,True
"Says Paul Ryan is leading the effort to ""pass a tax bill with divisive conception language by disguising it as a college savings plan"" in ""another attempt to ban abortion and rob women of their reproductive rights.""",half-true,mostly-false,"['half-true', 'mostly-false']",2,True
"""Walker says he’s for lower taxes. But Milwaukee County spending has gone up by $349 million.""",mostly-false,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""Nancy Pelosi vows Democrats will raise taxes if they take back the House.""",half-true,false,"['half-true', 'mostly-false', 'false']",3,True
"Wealthy taxpayers, not middle-income earners, get ""most of the deductions"" in the tax code.",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""",false,false,"['mostly-false', 'false']",2,True
"A three-cents-per-ounce soda tax in Philadelphia ""would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.""",false,false,['false'],1,True
Says his tax plan wouldn't leave the federal government with a $1.1 trillion hole.,false,false,"['mostly-false', 'false']",2,True
"""If you look at our tax mix, the share of corporate revenues as a percentage of our overall revenue mix has declined by about half over the last 30 years.""",half-true,half-true,['half-true'],1,True
"The richest 400 taxpayers are taxed at a lower rate than a $29,000-a-year worker",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Only 25 percent of what people buy is subject to Rhode Island’s sales tax.""",false,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"Says Scott Walker's plan to replace Obamacare ""is a new entitlement"" program for ""every single American human being from the time they are born right up until they grow old and become eligible for Medicare.""",half-true,half-true,['half-true'],1,True
"Delaware Democratic Senate candidate Chris Coons ""thought that a 911 call should be taxed.""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"""Congressman (Ron) DeSantis sponsored legislation to increase sales taxes by 23 percent, hurting families, destroying jobs, devastating tourism""",mostly-false,mostly-false,"['mostly-false', 'false']",2,True
"""Every time we've cut the capital gains tax, the economy has grown. Whenever we raise the capital gains tax, it's been damaged.""",false,false,['false'],1,True
"""We are the only advanced industrialized nation that bases our educational funding on property taxes.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false']",3,True
"""What happens is people like Warren Buffett — and he says this himself...pay 15 percent on the millions of dollars that they earn from wealth income... while their secretary is paying a higher rate on her work income. It's not right.""",true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"Under his tax plan, ""the greatest gains, percentage-wise,"" will be ""at the lower end of our plan.""",half-true,mostly-false,"['half-true', 'mostly-false', 'false']",3,True
"""Two weeks after signing a taxpayer protection pledge, (Charlie Crist) breaks it.""",mostly-false,half-true,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
Jacky Rosen “said ending taxes on tips would ‘hurt working Nevada families.’”,false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"In Florida, “68 to 70% of property tax revenue” is from “second homes, investment properties, commercial properties, Airbnb,” not primary residences.",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""I created a flat tax in the state of Utah. It took that state to the number-one position in terms of job creation.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Starting in 2011, ""you will be required to pay taxes"" on ""the value of whatever health insurance you are given by the company.""",pants-fire,pants-fire,['pants-fire'],1,True
The federal health care law raises taxes and cuts Medicare.,mostly-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""(Strickland) raised taxes last year to the tune of $840 million.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
"""Teachers and nurses and firefighters are paying a higher tax rate than billionaires and the biggest corporations.""",mostly-false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Newgard owed more than $13,000 for unpaid taxes on his $1 million Milwaukie apartment complex.""",mostly-false,mostly-true,"['mostly-true', 'half-true', 'mostly-false']",3,True
Says Panasonic stayed in New Jersey because of the Business Retention and Relocation Assistance Grant (BRRAG) program.,false,false,['false'],1,True
"Because of a local version of Amendment 4, ""the taxpayers of St. Pete Beach have had to pay hundreds of thousands in legal bills.""",true,true,['true'],1,True
"The tax-cut deal ""adds more than $800 billion to the deficit over two years -- more than the cost of TARP and more than the cost of the Recovery Act"" and about the same as health care reform.",mostly-true,mostly-true,['mostly-true'],1,True
"In Virginia ""there has been a billion dollars in surplus over the last three years. The legislature has spent less than 1 percent of that on roads.""",false,false,"['mostly-false', 'false']",2,True
"""We've got more revenue than we ever have.""",false,false,['false'],1,True
"Says rejecting federal aid to expand Medicaid in Texas will ""send $9 billion in federal taxes paid by Texans to other states to insure their working poor.""",false,false,"['mostly-true', 'mostly-false', 'false']",3,True
"The Republican tax bill passed in 2017 ""gave 83% of the benefits to the top 1%.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"When you compare our state pension system ""to other systems throughout the country, our benefits are not gold-plated. They are not rich. They are actually average or below average.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"""The University of Wisconsin System budget is the biggest it has ever been.""",mostly-true,mostly-true,['mostly-true'],1,True
"Says Alabama Senate candidate Doug Jones ""wants to raise taxes.""",mostly-false,false,"['mostly-false', 'false']",2,True
"The federal government owns 30 percent of the land in the 50 states, or about 650 million acres.",mostly-true,mostly-true,"['true', 'mostly-true']",2,True
