statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered,trial
"Says Donald Trump got “exposed for raping a 13-year-old"" in retaliation for law enforcement officers “killing black people.”",false,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"""No one on my staff has ever been charged with a crime.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True,1
"""25% of human trafficking victims are located in Texas.""",pants-fire,false,"['false', 'mostly-false', 'true', 'half-true', 'pants-fire', 'mostly-true']",6,True,1
"""Pier 39 terrorist was an anti-Trump antifa supporter.""",half-true,false,"['false', 'pants-fire', 'mostly-false']",3,False,1
Say a boy was 'caged' in a wire enclosure.,false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True,1
Florida Agriculture Commissioner Nikki Fried “suspended gun rights — no due process — just because she says these people were merely ‘involved’ in January 6.”,mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true', 'mostly-true']",6,True,1
"The slaying of two Israeli embassy employees in Washington, D.C., is a false flag.",pants-fire,false,"['false', 'pants-fire']",2,True,1
"Milwaukee police use deadly force at a rate that is ""among the lowest"" in the country.",half-true,half-true,"['half-true', 'mostly-true', 'mostly-false', 'false', 'true', 'pants-fire']",6,True,1
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true', 'mostly-true']",6,True,1
"A new Missouri bill “would put teachers on the sex offense registry if they ‘contribute to social transition’” of transgender students, including by using gender-affirming pronouns.",mostly-true,false,"['false', 'pants-fire', 'mostly-false', 'true', 'half-true']",5,False,1
"“In Chicago, Covid-19 actually LOWERED the death rate.”",false,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"""Under Tom Barrett’s leadership, violent crime in Milwaukee has decreased by over 20% -- to its lowest levels in more than 20 years.""",pants-fire,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True,1
"Sex traffickers are using a zip-tie contraption on the door handles of vehicles “to trick females into looking down and digging for something in their purse to cut with ... Once they’re distracted, boom! They are quickly forced into another vehicle, never to be seen again by their people.”",false,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"In 2009, the FBI ""referred more than 71,000"" cases of people failing background checks when trying to buy a gun to another federal agency, ""but U.S. attorneys ultimately prosecuted only 77 of them.""",half-true,half-true,"['half-true', 'mostly-true', 'false', 'true', 'mostly-false']",5,True,1
"Says the ""South African Government is now seizing land from white farmers"" and alleges a ""large scale killing of farmers"" in the country.",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True,1
"Research found that ""over the course of the existence of the Brady Bill ban, the use of assault weapons in crimes decreased by two thirds.""",half-true,half-true,"['half-true', 'mostly-true', 'false', 'true', 'mostly-false', 'pants-fire']",6,True,1
"Only five states, including Georgia, do not have a hate crimes law.",true,false,"['false', 'mostly-false', 'true', 'half-true', 'pants-fire', 'mostly-true']",6,True,1
"Says President Barack Obama ""appointed Eric Holder as attorney general. Eric Holder said he viewed his mission as brainwashing the American people against guns.""",half-true,false,"['false', 'mostly-false', 'pants-fire', 'true']",4,False,1
"""Beginning on Jan. 1, prostitution by minors will be legal in California.""",pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
Georgia ranks No. 9 in the rate of women murdered by men.,true,true,"['true', 'false', 'mostly-true', 'mostly-false', 'half-true', 'pants-fire']",6,True,1
"The federal Hate Crimes Prevention Act bill would create ""special protection for pedophiles.""",pants-fire,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True,1
"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True,1
"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true', 'mostly-true']",6,True,1
"Heroin and prescription opioids are ""the number one cause of accidental or preventable death in Wisconsin.""",false,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"The death penalty ""is a deterrent that does affect and impact people.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True,1
"Say a ""left wing extremist, chases down, rams car over Trump bumper sticker.""",mostly-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,False,1
"Studies show ""the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS"" and ""the entire City budget for 2018 is $8.6 billion dollars. This math does not work, it is financially killing our city.""",false,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True,1
"“California Democrats have proposed Bill 553, which makes it ILLEGAL to confront or fight back against looters, burglars and shoplifters.”",false,false,"['false', 'mostly-false', 'pants-fire', 'true']",4,True,1
"Says Rand Paul thinks drug-dealing, theft, burglary and prostitution should be decriminalized.",false,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True,1
"""You could lose your rights for life over something as simple as driving with a suspended license"" in Florida.",mostly-true,false,"['false', 'mostly-false', 'half-true', 'true', 'mostly-true', 'pants-fire']",6,True,1
"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True,1
Pennsylvania Senate candidate John Fetterman’s tattoo references ‘heroin use’ and the Crips,mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True,1
"""Breaking! Terrorist attacks Trumps at Mar A Lago.""",false,false,"['false', 'pants-fire']",2,True,1
“A proposal in Syracuse would pay gang members $100-$200 per week to stay out of trouble.”,mostly-true,false,"['false', 'mostly-false', 'half-true', 'true', 'pants-fire', 'mostly-true']",6,True,1
"Transporting drugs ""is the price of admission"" for people crossing the border illegally.",pants-fire,false,"['false', 'pants-fire', 'mostly-false', 'half-true', 'true']",5,True,1
"Say Matt Wand cut Troutdale police, created a slush fund for himself.",pants-fire,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True,1
"""The number of killings of citizens by police is at a two-decade high.""",half-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True,1
"The ""stand your ground"" law caused the shooting death of Trayvon Martin.",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True,1
"In Washington, D.C., “We always have a murder a week.”",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true', 'mostly-true']",6,True,1
"""Investigators: Anthony Bourdain was killed by Clinton operatives.""",pants-fire,false,"['false', 'pants-fire']",2,True,1
"""Because of (the 1994 crime bill), we had a 25-year low in crime, a 33-year low in the murder rate, and listen to this, because of that and the background check law, a 46-year low in the deaths of people of gun violence.""",mostly-false,mostly-false,"['mostly-false', 'false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True,1
"Since Florida passed the ""stand your ground"" law in 2005, deaths due to self-defense have jumped over 250 percent.",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true', 'mostly-true']",6,True,1
"“Just last week, Ruben Gallego voted to let the millions of people who poured into our country illegally cast a ballot in this upcoming election.”",false,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"New York is ""leading the nation with the lowest imprisonment rate of any large state”",true,true,"['true', 'false', 'mostly-true', 'half-true', 'mostly-false']",5,True,1
"After attacking Emma Gonzalez, U.S. Rep. Steve King is ""facing arrest.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True,1
"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.""",true,true,"['true', 'false', 'mostly-true', 'mostly-false']",4,True,1
"""Semi-automatic weapons, whether pistol or rifle, were designed for use by the military on the battlefield.""",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True,1
"In Parkland, Fla. ""the mass murderer was immersed in Islamic and leftwing hate.""",pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"""We give (foreign aid) to developing countries, and 70 percent of it's stolen off the top.""",false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True,1
"Kilmartin has helped pass laws to ""create a witness protection program.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false', 'true']",5,True,1
"Only 15 percent of drug users are African-American, yet 74 percent of all drug offenders sentenced to prison are black",half-true,half-true,"['half-true', 'false', 'mostly-false', 'mostly-true', 'true', 'pants-fire']",6,True,1
"People on pot ""shoot each other ... stab each other ... strangle each other, drive under the influence, kill families.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True,1
"Leticia Van de Putte ""voted to stop schools from removing teachers convicted of a felony.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True,1
“President Obama and Vice President Biden never even tried to fix this (police reforms) during their eight-year period.”,false,false,"['false', 'mostly-false', 'pants-fire', 'true']",4,True,1
ATM users in distress can enter their PIN backwards to secretly call the police.,false,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.,false,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"In Ferguson, Mo., ""you've got three black officers and 50 white officers with a town that is 67 percent African-American.""",mostly-true,true,"['true', 'false', 'half-true', 'mostly-false']",4,False,1
"""A black person is four times as likely as a white person to be incarcerated for the exact same crime.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True,1
"Sharron Angle supported ""a Scientology plan to give massages to prisoners.""",half-true,false,"['false', 'half-true', 'mostly-false', 'mostly-true', 'pants-fire', 'true']",6,True,1
“Kamala Harris Tried to Put Pro-Lifers in Jail Who Exposed Planned Parenthood Selling Baby Parts”,false,false,"['false', 'pants-fire', 'mostly-false', 'true', 'half-true']",5,True,1
"""Crime is escalating to a level we haven’t seen in decades as a direct result of Democrats’ defund the police movement and Biden-Harris open-border policies.""",false,false,"['false', 'pants-fire', 'mostly-false', 'true', 'half-true']",5,True,1
"In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years.""",true,false,"['false', 'true', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire']",6,True,1
"Says U.S. Sen. Ron Johnson ""threatens citizens with arrest if they continue asking for a town hall.""",pants-fire,false,"['false', 'pants-fire', 'true', 'mostly-false']",4,True,1
"The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",false,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True,1
"""Only Duterte’s Philippines and Trump’s United States of America have money bail.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True,1
"Milwaukee has seen ""an uptick in violence"" since 2010, and ""the only period of calm we get is when winter sets in.""",mostly-true,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True,1
"""Animal abuse is often an indicative trait of future acts of violence against humans.""",true,true,"['true', 'false']",2,True,1
"""Only half of the murders in the city of St. Louis get solved.""",true,false,"['false', 'half-true', 'mostly-false', 'true', 'pants-fire', 'mostly-true']",6,True,1
The crime rate in some Atlanta neighborhoods has dropped by 35 to 51 percent.,false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true', 'mostly-true']",6,True,1
"""Since the passage of (the Violence Against Women Act), annual rates of domestic violence have dropped by 63 percent.""",half-true,false,"['false', 'half-true', 'mostly-true', 'mostly-false', 'true', 'pants-fire']",6,True,1
"""Californians are overwhelmingly against this concept of the illegal sanctuary state.""",false,false,"['false', 'mostly-false', 'pants-fire']",3,True,1
Says crime statistics show blacks kill 81 percent of white homicide victims.,pants-fire,false,"['false', 'pants-fire', 'true']",3,True,1
"Says the Texas Board of Nursing has a backlog of ""3,000 complaints against nurses, many of them sexual assaults, malfeasance.""",mostly-true,false,"['false', 'mostly-false', 'mostly-true', 'half-true', 'true', 'pants-fire']",6,True,1
“Only one person died on that day” during the Jan. 6 U.S. Capitol riot.,false,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"""There are over 2,000 crimes recorded per 100,000 population in the U.K.,"" compared to ""466 violent crimes per 100,000"" in the United States.",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True,1
"The Justice Department has been “calling parents that are concerned about what their kids are being taught, they are labeling them terrorists.”",false,false,"['false', 'mostly-false', 'pants-fire']",3,True,1
"""Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.""",pants-fire,false,"['false', 'pants-fire', 'mostly-false', 'true']",4,True,1
“Jan. 6 now does look like it was an inside job.”,pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"Says ""160,000 kids stay home every day because they are afraid to go to school because of bullying.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True,1
Says Nancy Pelosi was arrested after ripping a copy of the State of the Union speech.,pants-fire,false,"['false', 'pants-fire']",2,True,1
"Nevada is No. 1 in unemployment, violent crime, car theft, divorce, robberies and foreclosures.",mostly-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,False,1
"Democrats ""booed families of children murdered by MS13.""",pants-fire,false,"['false', 'pants-fire']",2,True,1
"""In my first year in office, Aurora homicides went down by 40%.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True,1
"Fulton County District Attorney Fani Willis “campaigned and raised money on, ‘I will get Trump.’”",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True,1
"Right now, if Rhode Island police come across a young person with a gun, ""they really don't legally have the right to take it away from them.""",half-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True,1
"""Since 2013 alone, the Obama administration has allowed 300,000 criminal aliens to return back into United States communities. These are individuals encountered or identified by (Immigration and Customs Enforcement), but who were not detained or processed for deportation because it wouldn't have been politically correct.""",half-true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true', 'mostly-true']",6,True,1
BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,pants-fire,false,"['false', 'pants-fire', 'mostly-false']",3,True,1
"California Gov. Gavin Newsom “just let 76,000 inmates out of jail.""",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true']",4,True,1
Says Madison and Milwaukee County both carry sanctuary status for illegal immigrants and  released undocumented immigrants who have committed multiple crimes including sexual assault of a child,half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True,1
"“If I didn’t INSIST on having the National Guard activate and go into Kenosha, Wisconsin, there would be no Kenosha right now.”",pants-fire,false,"['false', 'pants-fire', 'mostly-false', 'true', 'half-true']",5,True,1
"""Midtown crime is up by 30 percent the last quarter.""",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'true']",5,True,1
"""More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. That's significantly higher than alcohol.""",half-true,half-true,"['half-true', 'false', 'mostly-true', 'mostly-false', 'true', 'pants-fire']",6,True,1
