statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""#Broward elections department has a history of violating the law.""",6.0,0.0,47,1.0,mostly-true
"""'Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.""",4.37037037037037,0.4874382900970034,54,1.0,true
"""(Fritz) Kaegi managed a fund that invested nearly $30 million in private prisons.""",5.0,0.0,48,1.0,mostly-false
"""(John McCain) was even mentioned as a running mate with John Kerry.""",6.0,0.0,47,1.0,true
"""13,000 Floridians are able to vote -- but their governor won't tell them.""",5.021739130434782,0.14744195615489714,46,1.0,false
"""14 percent of noncitizens are registered to vote.""",5.0,0.0,52,1.0,false
"""2008: Unions Spent $400 Million to Elect Obama.""",6.0,0.0,41,1.0,false
"""21% of 140,000 ballots were found to be in error in GA.”",6.0,0.0,53,1.0,mostly-false
"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",5.0,0.0,48,1.0,false
"""55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count.""",6.0,0.0,59,1.0,mostly-true
"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",5.0,0.0,50,1.0,false
"""70 percent of Americans believe that we are on the wrong path.""",5.0,0.0,44,1.0,mostly-true
"""70 percent of the people who voted"" on June 5, 2012, ""just didn’t feel comfortable with the recall of the governor,"" weakening any idea that Wisconsin is ""fully behind this Walker agenda.""",4.0588235294117645,0.23763541031440175,51,1.0,half-true
"""700 jobs (were) lost because Allen Boyd"" voted for the health care bill.",6.0,0.0,44,1.0,mostly-false
"""75 percent of the town boards in Wisconsin have no women on them at all.""",5.638297872340425,0.4856878544414059,47,1.0,true
"""8 years of the Clintons, major losses for Democrats across the nation.""",5.966666666666667,0.18051113445691197,90,1.0,mostly-true
"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",5.904761904761905,0.29710175718617465,42,1.0,true
"""@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.""",5.607843137254902,0.4930894998901932,51,1.0,mostly-true
"""A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!""",5.961538461538462,0.1941839093451544,52,1.0,pants-fire
"""A record number of Hispanics were elected to the U.S House of Representatives...""",5.0,0.0,50,1.0,mostly-true
"""A witness will testify against Hillary Clinton.""",6.0,0.0,52,1.0,false
"""Abolishing the Electoral College would make Los Angeles County stronger than 43 states.""",4.446428571428571,0.5016207497934835,56,1.0,false
"""About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.""",5.961538461538462,0.19418390934515434,52,1.0,mostly-true
"""About 70 percent of Republicans nationwide ... don't think Donald Trump is the right guy"" to take on Hillary Clinton in November.",5.918367346938775,0.2766416675862441,49,1.0,mostly-true
"""About half of the presidents have been governors; half of them, senators.""",5.0,0.0,48,1.0,false
"""Absent from the news — Dominion lost their lawsuits against Rudy Giuliani and Sidney Powell.""",6.0,0.0,63,1.0,false
"""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.",5.689655172413793,0.4666753088820377,58,1.0,mostly-false
"""After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period.""",5.0,0.0,50,1.0,true
"""After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed.""",4.0,0.0,51,1.0,true
"""Alabama state police arrest 3 poll workers in Birmingham.""",5.0,0.0,56,1.0,pants-fire
"""All four on Mount Rushmore, they were all independents at one critical point in their career.""",5.24,0.4314191105869001,50,1.0,false
"""Amendment 4 will reduce Florida’s economic output by $34 billion annually.""",5.0,0.0,57,1.0,mostly-false
"""America has more governors who’ve worn blackface than black governors.""",6.0,0.0,53,1.0,true
"""An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.""",4.90566037735849,0.2950978288503027,53,1.0,mostly-true
"""An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.""",6.0,0.0,48,1.0,false
"""An overwhelming majority of Republican and Democrat law enforcement leaders have endorsed Brad Schimel.""",5.953488372093023,0.21308263231644636,43,1.0,half-true
"""Antifa"" is to blame for storming the U.S. Capitol.",6.0,0.0,45,1.0,pants-fire
"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",6.0,0.0,48,1.0,false
"""Any Republican that has led for two months and led every state has won the GOP nomination.""",6.0,0.0,50,1.0,half-true
"""Apple and Amazon already operate in many states that require levels of voter ID.""",5.0,0.0,47,1.0,true
"""Arizona officials caught changing ballots, have been arrested.”",4.0,0.0,48,1.0,false
"""As the election tracker FiveThirtyEight has reported, whoever wins Pennsylvania will be our next President.""",6.0,0.0,55,1.0,mostly-false
"""At least three or four of the pieces that are in"" in the Republican lame-duck legislation, Scott Walker ""has vetoed previously.""",5.0,0.0,51,1.0,mostly-true
"""At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined.""",5.596153846153846,0.4954544511074372,52,1.0,true
"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",6.0,0.0,39,1.0,mostly-false
"""Atheists are prohibited from holding office in 8 states.”",5.634615384615385,0.48623588860399414,52,1.0,half-true
"""Attention hunters: Voting in North Dakota could cost you your out-of-state hunting licenses.""",6.0,0.0,52,1.0,pants-fire
"""Attorney General Eric Holder is involved in the dismissal of the criminal charges"" against the New Black Panther Party for voter intimidation",6.0,0.0,49,1.0,false
"""Attorney General Eric Holder’s own Justice Department precleared the voting changes in the 2011 law"" about early voting in Florida.",5.916666666666667,0.279310193865464,48,1.0,half-true
"""Austin is the largest city in the U.S. or Texas with no geographic representation"" on its city council.",6.0,0.0,46,1.0,true
"""BP is setting up claims offices throughout the state.""",4.125,0.3349320635285419,40,1.0,mostly-true
"""Ballot dumps"" in Pennsylvania, California, North Carolina, Alaska and Wisconsin show election officials are improperly “flipping"" down-ballot seats for Democrats.",3.92,0.27404751561786966,50,1.0,pants-fire
"""Barack Obama said he would debate 'anywhere, anytime' but has rejected joint town hall meetings.""",5.9375,0.24462302739504085,48,1.0,half-true
"""Before the Republican wave in 2010, Democrats had an advantage on the generic ballot in Congress. Even in 1994 with the Gingrich revolution ... Democrats had that advantage.""",3.702127659574468,0.462267267743469,47,1.0,true
"""Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.""",5.0,0.0,47,1.0,mostly-false
"""Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. It's true. I get far bigger crowds.""",5.0,0.0,47,1.0,false
"""Biden concedes 6 million votes.""",4.293103448275862,0.45916096973528986,58,1.0,pants-fire
"""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""",5.0,0.0,45,1.0,false
"""Black Panthers Just Took Over City (Atlanta) – All Out War On Election Day""",3.0,0.0,42,1.0,pants-fire
