statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered,trial
"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True,1
"Jim Justice “broke his pledge, raised the gas tax.”",false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
"""We have the highest corporate tax rate in the world. It’s 35 percent.""",true,true,['true'],1,True,1
"Says Gov. Tony Evers ""tried to make us pay even more at the pump by hiking the gas tax.""",half-true,mostly-false,"['half-true', 'mostly-false', 'false']",3,True,1
"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",half-true,false,"['half-true', 'mostly-false', 'false']",3,True,1
Florida has “the second lowest tax burden per capita in the United States.”,mostly-true,true,"['true', 'mostly-true']",2,True,1
"""More than a million Wisconsinites have voted to raise their own property taxes because Republicans have failed to fully fund our public schools for the past eight years.""",half-true,mostly-true,"['true', 'mostly-true']",2,False,1
"""Most people below $50,000 don’t pay any income tax. The top 1 percent in our country pay 40%.""",mostly-true,mostly-true,"['true', 'mostly-true']",2,True,1
"“If you’re a low-wage worker and you’re single and don’t have children, we’re literally taxing you into poverty.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True,1
"""We are the most generous in New England and New England is known for its generosity toward its welfare recipients.""",half-true,false,"['half-true', 'mostly-false', 'false']",3,True,1
"""Americans now spend 100 days out of the year working for government before we even start working for ourselves.""",mostly-true,mostly-true,['mostly-true'],1,True,1
"A bill backed by Sean Duffy and other House Republicans ""could actually require the Internal Revenue Service to conduct audits of rape victims"" who get an abortion.",false,false,['false'],1,True,1
"Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",mostly-false,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True,1
The new Atlanta Braves stadium will require no tax increase for homeowners and provide $3 million annually for Cobb County schools.,half-true,half-true,['half-true'],1,True,1
"Loranne ""Ausley's a financial train wreck for taxpayers -- pushing gas taxes, property taxes, taxes on seniors.""",false,false,['false'],1,True,1
"""Bill Nelson voted for higher taxes 150 times.""",false,false,"['half-true', 'mostly-false', 'false']",3,True,1
"Says his transportation plan ""would make Virginia the first state in the nation to eliminate the state tax on gasoline.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True,1
