statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""I actually in 2005 ran on Medicare for all.""",true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""You’re paying for...(state Sen. Diane Allen’s) health care, and she took yours away.""",mostly-false,false,"['mostly-false', 'false']",2,True
"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War.""",true,false,"['true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""Weeks after accepting a quarter-million-dollar campaign contribution"" from a hospital board chairman, Greg Abbott went to court against victims of a drug-taking neurosurgeon.",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"Says Ohio U.S. Rep. Steve Chabot ""voted to cut health care for kids, affecting up to half the families at Cincinnati’s own Children’s Hospital.""",half-true,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.""",mostly-false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""A small majority of Americans don’t think they like the Affordable Care Act, but a large majority of Americans don’t want to do away with the protections that are in the Affordable Care Act.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"The U.S. Supreme Court is ""five guys who start determining what contraceptions are legal.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
76 percent of Americans want a public health care option.,false,false,"['half-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""Congress has cut funding, has slashed funding, for veterans' benefits over these last years.""",false,false,"['half-true', 'mostly-false', 'false']",3,True
"""In Canada, for a number of decades, they have provided quality care to all people without out-of-pocket expenses. You go in for cancer therapy, you don't take out your wallet.""",half-true,mostly-false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"If you went “anywhere in the world,” you could get a prescription filled for 40% to 60% less than it costs in the U.S.",mostly-true,false,"['true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,False
"Gov. Rick Scott ""is trying to get a waiver under the federal health care law that would deny consumers in Florida the right to the $60 million in rebates they have from their own HMOs.""",half-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"The new health care law crushes small businesses ""with billions in penalties.""",false,false,"['half-true', 'mostly-false', 'false']",3,True
"Federal spending on entitlements ""is projected to consume all revenue by 2045.""",mostly-true,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
