statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""Just about half of rural hospitals operate in the red in Virginia. They operate at a loss.""",true,mostly-true,"['true', 'mostly-true', 'half-true']",3,True
"Twenty percent of single adults, ages 21 to 25 with no kids, ""are not working or even in school trying to find a job.""",false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says former state Sen. Kelli Ward ""wanted to ban our intelligence agencies from operating in Arizona.""",mostly-false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""A Milwaukee election employee even acknowledged dropping off just the margin of ballots needed for a Biden win at 3 a.m.""",pants-fire,false,"['mostly-false', 'false', 'pants-fire']",3,True
"""Washington politicians are paid over $200,000 an hour for speeches.""",mostly-false,false,"['mostly-true', 'mostly-false', 'false', 'pants-fire']",4,True
"""BREAKING: Queen Elizabeth II Dead At 94""",pants-fire,false,"['true', 'false', 'pants-fire']",3,True
"""When I talk about (raising the) minimum wage ... half of Republicans agree with it.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Seventy percent of the American public agree with"" Alexandria Ocasio-Cortez ""on having the top marginal (tax) rate for the rich"" at 70 percent, and ""that's a Fox News Poll saying that.""",mostly-false,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
Homemade baby formula recipes offer a ‘viable option’ during U.S. shortage,false,false,"['mostly-true', 'half-true', 'mostly-false', 'false']",4,True
"""Virginians pay the 11th-highest power bills in the nation.""",half-true,mostly-true,"['true', 'mostly-true', 'mostly-false']",3,False
"The estimated price of President Trump’s border wall is the same as the cost of ""one and a half aircraft carriers.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
An app called Talking Angela asks children personal questions and takes their photo.,false,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""You can't read a speech by George Washington . . . without hearing him reference God, the Almighty.""",false,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Police in the United States are allowed to use tear gas even though it ""has been classified as a chemical weapon and banned in international conflict since 1993.""",mostly-true,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""We only have 2 percent of the oil reserves in the world, and we consume 25 percent of the world's oil on a daily basis.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"Says Attorney General Loretta Lynch ""was a member of Bill Clinton's defense team during the 1992 Whitewater corruption probe.""",pants-fire,false,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,False
"The state of Georgia lost 16 percent of its employees last year, and that percentage has risen over the past three years.",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"The final pitch of Don Larsen's perfect game in the 1956 World Series ""was a foot and half probably high and outside.""",half-true,true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false']",5,True
"""Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Sean Duffy’s Republican Majority.""",pants-fire,false,"['mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",5,True
"""Twelve percent of the garbage collected in those SOLV cleanups, by volume, is plastic bags.""",mostly-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Shelby County donated – I’m sorry, gave – 44 schools to the city of Memphis.""",half-true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"The Uvalde, Texas, mass shooter was an ""illegal alien.""",false,false,"['mostly-false', 'false', 'pants-fire']",3,True
"New York state subsidizes private colleges ""probably more than any other state except maybe one.""",true,mostly-true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,True
"""Close to hundreds"" of people died at Astroworld.",false,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,False
