statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",3.9767441860465116,0.15249857033260467,43,1.0,half-true
"""$3 billion over the next five years will be taken out of our public schools and be put into vouchers.""",4.1,0.30304576336566325,50,1.0,mostly-false
"""(Charter schools in Missouri) are actually failing in a greater capacity than the public school systems.""",5.58,0.49856938190328987,50,1.0,mostly-false
"""(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states.""",5.8125,0.39444277960558327,48,1.0,half-true
"""(The Opportunity Scholarship Act) would be funded directly from public school budgets. So it would absolutely take money out of the public school system to transfer to private and religious schools.""",5.980769230769231,0.13867504905630726,52,1.0,mostly-true
"""(The) top issue for college students is the economy.""",5.9375,0.24462302739504077,48,0.9375,true
"""...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.""",5.509090909090909,0.5045249791095131,55,1.0,mostly-true
"""1/3 of our kids drop out (of high school), cannot go to college or start a career.""",5.75,0.43723731609760313,52,1.0,mostly-false
"""200,000 students attempt suicide every year on college campuses.""",2.982456140350877,0.13245323570650439,57,0.0,half-true
"""3,000 teachers lost their jobs when (Crist) was governor.""",5.145833333333333,0.46078486849663475,48,1.0,mostly-false
"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",5.709090909090909,0.4583677673015525,55,0.7090909090909091,true
"""50% of Hispanic students count on Pell Grants to pay for college.""",5.76595744680851,0.4279763279438431,47,0.7659574468085106,true
"""60 percent of Texas 8th graders are not proficient in math. Only 26% have a teacher with a undergraduate major in math.""",5.42,0.49856938190329,50,1.0,mostly-true
"""70,000 three-year-olds and four-year-olds across America will lose access to the preschool Head Start program. ... 2,000 in the state of Florida alone.""",5.808510638297872,0.3977271225536437,47,1.0,half-true
"""700 jobs (were) lost because Allen Boyd"" voted for the health care bill.",2.9215686274509802,0.27152438232335313,51,1.0,mostly-false
"""90% of rural women and 55% of all women are illiterate"" in Morocco.",4.1,0.3642156795423419,50,1.0,false
"""91 percent of Latinos support the DREAM Act, which allows undocumented youth to attend college,"" but Marco Rubio opposes it.",5.912280701754386,0.28540083056153337,57,1.0,true
"""94 percent of those that are employed by the Department of Education at the federal level were deemed by the department as nonessential employees.""",5.204081632653061,0.40720550896397784,49,1.0,mostly-false
"""95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.""",4.434782608695652,0.5012062743707415,46,1.0,half-true
"""99.97 percent of the kids live in poverty that attend Cleveland public schools.""",3.5306122448979593,0.5042337758225565,49,0.5306122448979592,half-true
"""A Houston school district analysis found that the (State Board of Education) more than quadrupled the number of historical figures students must learn about.""",5.7555555555555555,0.43461349368017643,45,1.0,half-true
"""A college loan is the only loan in the United States that you cannot refinance when interest rates go down.""",5.672413793103448,0.4734320764739994,58,1.0,mostly-true
"""A few weeks ago, (the) education committee in Congress is deciding what’s going to be in your local salad bar.""",2.880952380952381,0.32777006756156785,42,1.0,false
"""A high school dropout makes on average $19,000 a year, a high school graduate makes $28,000 a year, a college graduate makes $51,000 a year.""",5.191489361702128,0.3977271225536437,47,1.0,mostly-true
